大陸,#genre#
CCTV-高尔夫网球,http://live.dfj.sh:8443/s/AX1C0kpBm3Ou3YHuGuJH6Jiz5oapTpX2BI1ISZ4II5wGAJuw6_tm2nfVOFq3RfZXbsYo5NZDjRa6WGubXrjj4GlA2epvGTd2ZY36uVarueBp_e984--V1agkD8lS61grQzinNhImWw3zp2BRQM1lfDmnoQUyNFiFRdlYgEQbkuNV1LcPbmR6sj5rRRdCjq_FDlkyHXR4UtB1F25mHxyC0eIN9rePP2yTePcS1o7bZJqDTrHJw8LIF7B8i5MgpX5H6dyrUAm1wqbmajmi2V76E8eqhREsx1_LwFs4yJut6aY4QHPghojLfkE.m3u8
CCTV世界地理,http://live.dfj.sh:8443/s/Afu3AsMZEypDVRVmD-U6J1_qDsI9DGyKJwoLlO4l3--3-7i5D1j6vgkVWeiWUI_hkBPJGO4NO1bRJ7LaOAwUH57ql-Yhi_uOPZ1lIIBS_RSNNM4bDVNksl_YisQbeGju5o2Iks1ud_4JxckFSfPHzG7OXm4KSO5_C46jnzLOn7CtIKbFg9It67akWVXiy9Qy7QaF8nMrDlSme73zyVAnr_iLr6SFUH45sTgJffjqj-2VOg4moGqlB9XwtoqmSIs16oAluIgShW5v7DiLUshcHdvzVQYHs8AU2M7X8lGiOy-szPJU1Fwzu3aa0eAhBgs.m3u8
风云音乐,http://live.dfj.sh:8443/s/AYeThyGbND5ei5KCCimsjZCW186CyNMDNWssWE-RDfUNAVl2EmbpamT8ieRmDYBmsr46jbewl1QfLXVb9bEiuxeOUDdgAJn4soIhu2NyN03LKFev1YKd9QAy7K7qcKr3ebdjzGEycPPGFOKcnSoADX02bioi__JJShvJrnbfqiC3tvAC2RPQhhYSNiWhbJ6asCA1hwRcywweuMmXMZKj13pTAZGEtnpbHF3H5I0MebwikYP1H8UzGZQSQqO-r0sW5q9hxuc4mg7tR7jKLTOGhBBJUQONXyrtbPQtMtjqUhJKYZoGYgPSKyI.m3u8
央视台球,http://live.dfj.sh:8443/s/AWzcYFvwVIPekj2VGup76ouofDiMUg7LIi3sRVQs0j8YI7rqnztxKylJfAUV55rIs7oQ2L4ZyCCZCcEjq_j8pr7U6HDvo42q_PWz3L-QJTe1ipLYugf3iB6vkgV913SMwx6C7kFCOctteR9YKWhAPNsjo6vjNYGc6qJajhhNhP3VynoWDWKvnQvGxhUtPivJ9WwwcDjG4KH7KPEeLvMrMAzog1lh_uWC0ymWcTQQot-M3Xq7ptLB4pfo9BdUG-ndOTURSoIdqoztXAVh86XtlLv13-8_9RO_lCsMSt9qJfEkZVVqgb2kEr8.m3u8
发现之旅,http://live.dfj.sh:8443/s/AaXmFHeKLcQFMeoMLaWR3wnUh-sFZcxYxVHRX2IN6NKG98NlIVDU5oFbv7zND90gPya7zc4b6C1Z_1gjed6Kw6nadW5tuK5_0_iVRc1G7Mg0OVU0RSOYeCm-ZtsG-JgmS80TY2oFN-Q6IYQgSApgl56xNM6Dhw2SS-Zml7Og4lKPpupRKBZ8ZMZu0WVxO4jsBYm5oKxB0Yfk1TTqg-6vv_4YgoqVu9XEoF-rNzWxRlsesmBLvuC0iTSpTh8Ne4GxvJ2VtAUSSvnpDw3l71Ntak4Htl3QzxsASGtgEmHv-nKk5Uw_27Ow7PsN8lBdSDWjYQ.m3u8
怀旧剧场,http://live.dfj.sh:8443/s/Ab9pqZyXAwNbnoaO0rY61u_xsxKk9hSP9cCxMTleLQeYpp7iI53y8pIS6bY-N7Cwbnp6grQoqUzB-WW8_1PqP2jEK01qZBdwIBR0Nbhitb4oa8NwJxAIe4YdQ5OFmm2G2TiUNZ0GmCrvpO3N2vP6MdHKJ25bpQ1phKhvGQA3AQpi_EKuYyoLkEMXQA5mzlSqtZOBJpDUdt8aX92al14l0h3s4t61fyGE9w_naYVLKvL7SN_6vChC-6OgG0Apu0v_Gez-cunqT_SM0pe41TrTlQnINkNCU_Bexczne-k24L4wlsqwr8r6rGLPpcyQ7sDNdKMorA.m3u8
央视精品,http://live.dfj.sh:8443/s/AYv4Jv7BQiGi_MX-xIT9sBXhWcefUkSYvEB2s8gebGQ2mGNUmgsWFLb5gsX3RNe7efCplONZjvTTWJuaUBUpNHOm2bsdKCVCiNxiCDBwxQFop0XcKLhIat_YfispK8nG_TTZ486unxXxWZXu9A1SUYrS2GlhfYOG6njvCNZQ90wcTO85yWUH220fkRTq1utuOVTWt0e8eSO7f08M7qowU7F922676ZDBsQRWS82RwzymHeRCABIX9Z_T_llG1kHtQ2s_yGCpdzFS5pjOb86604owkPbnbsmnMPu92y0Xcvkdh3JvlNAJ-Fc.m3u8
风云剧场,http://live.dfj.sh:8443/s/AWq3tijzRwjQOsWYhse3c_41aqbQB0qfooMxilBiVFWtVi-ISB-5nsEcrkqPTQfeJbOeIykXYiv-8Kq9WrL7FhTSkcFWbJ1AEJxQsepv5bowHy1HMNV3D-SyCRTOZscju_kBUZXhlFGO2OOHxY0fcBUHiqjEUAq15gJIdz8asb1YPqNqfUfGjPYl89MZ35SAikXTrz57_Mow2vTPurzAG0nY-hPq-IkkdogRgWKRQlH9FbozpWdcYgH3nY3MCEkxb1IwzRt-BpBNB36LtO7KufL1yIZHMYs5Ebsb_fPWFJXthCFairI2Dng.m3u8
第一剧场,http://live.dfj.sh:8443/s/AYXGhld2-jHxPkCCqPzXfc6BVDOOXRWIJUXv6eUzdW41o46w2mrRTgR1XH9Vurn6xHRG6FNzYNFgFkcro3OgI9_AmEY8tLN6lNUDpGDDVtFIaBEOhztu9XUAbppeWtESeHYVZ7tbUTj86xVEY7E36r2uzpMAlJ6m3zk_h2iaQhginIhO8MP9Ei3T1Z7j964hYxUxLmkK462FwYYHjYFAXF4LBoJhzzoWSEkPqFt5we5mmCMja2ErZ2Oo2oOnohN4KOz9z3g3nVzpzE3mjqn1xqsPqLT82tKG29-gj7I_q1kl9ktjJuvKg8g.m3u8
第一财经,http://live.dfj.sh:8443/s/AZT9oG_9Oh_0K2mRPw-OLTzJP9UJbOfLn3n61KwTla86WmIIhGb7PMs1JR4Wg4ozJnE4VOM8eqR2ZOAn-6IzAPt5KiEk7qbhVIc1Rgqw_9fpVNdhEwsl79davI2f5f8THs3bNQqA5Tr65LETSrifty_-jTznWCasHSE0XzlZ2XHFmRSMxGeXWqlaaO4sBGewrlol60wDgor1gXqA6qhNfgTIes_5rIWU1YnkNZyK2M-pgPDirzzAPttUA3kwrPnSKpI6q97vaPGbSbhBU6ELe0JotvvA9PErwkgzq5lJVfqXyi3SZAGCC3u-fQg23Zk.m3u8
